  id,device_code,col3,col4,col5,col6,col7,col8,status,serial,production_status
163,A210A010KWHJv0uy,9,A2,1,0,A,1,未分配,KWHJv0uy,已生产
160,A210A010J3Z0wMuj,9,A2,1,0,A,1,未分配,J3Z0wMuj,已生产
158,A210A010XQHwzFO6,9,A2,1,0,A,1,未分配,XQHwzFO6,已生产
159,A210A010iOyuWfPG,9,A2,1,0,A,1,未分配,iOyuWfPG,已生产
156,A210A010cWDMq92z,9,A2,1,0,A,1,未分配,cWDMq92z,已生产
155,A210A010cKXQiUAb,9,A2,1,0,A,1,未分配,cKXQiUAb,已生产
164,A210A010KAapl3Ev,9,A2,1,0,A,1,未分配,KAapl3Ev,已生产
161,A210A0107xSYfMFB,9,A2,1,0,A,1,未分配,7xSYfMFB,已生产
162,A210A010XzndOIbK,9,A2,1,0,A,1,未分配,XzndOIbK,已生产
157,A210A010ITyuQEoG,9,A2,1,0,A,1,未分配,ITyuQEoG,已生产
